Year,ISO_Code,Countries, Economic Freedom Summary Index,Rank,Quartile,Size of Government,Legal Sys & Prop. Rights (Adj.),Sound Money,Freedom to trade internationally,Regulation
2022,AGO,Angola,4.79,155,4,7.5,3.17,5,2.97,5.3
2022,ALB,Albania,7.48,38,1,7.81,5.43,8.76,8.53,6.9
2022,ARE,United Arab Emirates,7.39,45,2,5.78,7.06,8.33,8.57,7.18
2022,ARG,Argentina,4.55,159,4,6.22,4.95,2.55,4.22,4.8
2022,ARM,Armenia,7.49,36,1,8.01,5.81,8.47,8.08,7.1
2022,AUS,Australia,7.98,9,1,6.14,8.58,8.8,8.15,8.23
2022,AUT,Austria,7.62,23,1,5.24,8.55,8.44,8.67,7.2
2022,AZE,Azerbaijan,5.8,128,4,4.64,4.81,6.25,7.19,6.12
2022,BDI,Burundi,5.22,149,4,6.48,3.45,6.09,4.04,6.02
2022,BEL,Belgium,7.42,42,1,4.64,7.69,8.28,8.85,7.64
2022,BEN,Benin,6.26,97,3,7.62,4.26,6.83,6.07,6.51
2022,BFA,Burkina Faso,5.9,121,3,7.07,3.75,5.41,6.63,6.65
2022,BGD,Bangladesh,5.85,127,4,8.33,2.73,6.47,5.94,5.77
2022,BGR,Bulgaria,7.16,52,2,7.05,5.94,7.56,8.41,6.83
2022,BHR,Bahrain,7.51,34,1,7.37,5.18,9.03,8.35,7.64
2022,BHS,"Bahamas, The",6.65,81,2,8.82,5.4,6.08,5.63,7.34
2022,BIH,Bosnia and Herzegovina,6.22,102,3,6.8,4.57,5.37,7.68,6.7
2022,BLR,Belarus,5.98,112,3,6.28,4.2,7.81,6.46,5.17
2022,BLZ,Belize,6,109,3,6.23,3.95,6.17,6.57,7.08
2022,BOL,Bolivia,6.11,106,3,5.95,3.92,9.41,6.45,4.8
2022,BRA,Brazil,6.56,85,3,6.63,5.2,8.17,7.4,5.41
2022,BRB,Barbados,6.81,75,2,7.32,5.8,7.88,6.74,6.28
2022,BRN,Brunei Darussalam,6.99,61,2,6.67,5.25,8.09,7.61,7.31
2022,BTN,Bhutan,6.24,98,3,6.41,6.8,4.01,6.84,7.14
2022,BWA,Botswana,6.67,80,2,6.41,5.83,8.07,7.24,5.8
2022,CAF,Central African Republic,4.92,153,4,6.65,2.03,6.02,5.13,4.76
2022,CAN,Canada,7.99,8,1,6.44,8.3,8.55,8.53,8.14
2022,CHE,Switzerland,8.43,3,1,7.6,8.92,9.55,8.11,7.98
2022,CHL,Chile,7.45,39,1,7.2,6.81,8.11,8.56,6.58
2022,CHN,China,6.14,104,3,4.74,4.79,8.25,7.08,5.82
2022,CIV,Côte d'Ivoire,5.89,122,3,6.17,4.68,6.51,5.79,6.32
2022,CMR,Cameroon,5.61,135,4,7.27,2.77,6.45,5.47,6.08
2022,COD,"Congo, Dem. Rep.",5.02,152,4,5.98,2.59,5.95,5.61,4.94
2022,COG,"Congo, Rep.",4.89,154,4,6.02,2.78,5.39,5.74,4.53
2022,COL,Colombia,6.54,86,3,7.02,4.96,6.91,7.12,6.68
2022,COM,Comoros,5.56,139,4,6.36,3.11,5.88,6.47,6.01
2022,CPV,Cabo Verde,7.37,47,2,7.53,6.36,8.81,7.61,6.56
2022,CRI,Costa Rica,7.6,26,1,7.58,6.67,8.81,8.25,6.71
2022,CYP,Cyprus,7.53,31,1,6.85,6.7,7.83,8.9,7.39
2022,CZE,Czechia,7.65,22,1,6.46,7.4,8,8.86,7.53
2022,DEU,Germany,7.8,16,1,5.78,8.15,8.6,8.73,7.75
2022,DJI,Djibouti,6.23,99,3,5.88,3.64,9.11,5.76,6.75
2022,DNK,Denmark,8.02,6,1,5.34,9.1,8.78,8.94,7.94
2022,DOM,Dominican Republic,7.32,49,2,8.68,5.16,8.42,8.16,6.17
2022,DZA,Algeria,4.46,161,4,4.45,3.82,6.37,3.14,4.51
2022,ECU,Ecuador,6.14,104,3,6.56,4.56,6.53,6.84,6.2
2022,EGY,"Egypt, Arab Rep.",5.36,143,4,5.4,3.39,7.26,6.12,4.64
2022,ESP,Spain,7.54,30,1,6.05,7.35,8.42,8.67,7.19
2022,EST,Estonia,7.67,20,1,6.6,7.98,6.91,8.95,7.93
2022,ETH,Ethiopia,5.24,148,4,6.88,4.41,4.67,4.18,6.06
2022,FIN,Finland,7.87,13,1,5.06,8.86,8.52,8.67,8.22
2022,FJI,Fiji,5.99,110,3,5.47,4.58,6.71,6.18,7
2022,FRA,France,7.49,36,1,4.97,7.49,8.78,8.94,7.29
2022,GAB,Gabon,5.28,146,4,6.5,3.17,5.66,5.57,5.48
2022,GBR,United Kingdom,7.88,12,1,6.18,8.01,8.71,8.75,7.75
2022,GEO,Georgia,7.66,21,1,7.39,6.27,7.97,8.8,7.86
2022,GHA,Ghana,5.96,113,3,8.56,5.16,3.22,6.67,6.16
2022,GIN,Guinea,5.63,132,4,7.25,3.37,6.63,5.93,4.96
2022,GMB,"Gambia, The",6.85,70,2,7.28,4.74,8.08,7.28,6.88
2022,GNB,Guinea-Bissau,5.32,145,4,7.1,2.37,5.82,6.32,4.98
2022,GRC,Greece,6.85,70,2,4.98,6.04,8.07,8.49,6.66
2022,GTM,Guatemala,7.45,39,1,9.06,4.34,8.81,8.37,6.69
2022,GUY,Guyana,5.6,136,4,3.87,4.79,6.3,6.4,6.63
2022,HKG,"Hong Kong SAR, China",8.58,1,1,7.34,7.49,9.53,9.66,8.86
2022,HND,Honduras,6.92,67,2,8.84,3.95,8.33,7.06,6.44
2022,HRV,Croatia,7.07,56,2,5.9,6.17,8.18,8.45,6.63
2022,HTI,Haiti,5.8,128,4,8.73,1.94,4.9,7.56,5.85
2022,HUN,Hungary,7.12,55,2,6.23,6.38,7.61,8.7,6.66
2022,IDN,Indonesia,6.96,64,2,8.51,4.53,8.92,7.04,5.81
2022,IND,India,6.58,84,3,7.73,5.29,7.51,6.18,6.17
2022,IRL,Ireland,8.02,6,1,6.33,7.88,8.63,8.98,8.29
2022,IRN,"Iran, Islamic Rep.",4.63,158,4,6.99,3.26,5.95,2.48,4.47
2022,IRQ,Iraq,5.25,147,4,4.95,2.28,7.26,5.92,5.86
2022,ISL,Iceland,7.84,14,1,6.03,8.77,8.66,8.41,7.32
2022,ISR,Israel,7.44,41,1,5.96,6.27,9.03,8.71,7.24
2022,ITA,Italy,7.22,51,2,5.3,6.6,8.44,8.97,6.79
2022,JAM,Jamaica,7.32,49,2,7.98,5.72,8.04,7.19,7.65
2022,JOR,Jordan,7.33,48,2,7.47,4.33,9.36,7.94,7.54
2022,JPN,Japan,7.9,11,1,5.85,7.7,9.55,8.5,7.93
2022,KAZ,Kazakhstan,6.89,68,2,7.68,5.51,7.45,7.01,6.79
2022,KEN,Kenya,6.82,74,2,7.08,4.83,8.94,6.4,6.87
2022,KGZ,Kyrgyz Republic,6.53,88,3,7.09,4.47,7.07,7.38,6.65
2022,KHM,Cambodia,6.85,70,2,8.77,3.78,8.7,7.33,5.66
2022,KOR,"Korea, Rep.",7.52,32,1,6.3,6.94,9.07,8,7.27
2022,KWT,Kuwait,6.45,92,3,5.9,5.13,7.74,7.35,6.12
2022,LAO,Lao PDR,5.86,125,4,6.94,4.4,4.7,7.4,5.85
2022,LBN,Lebanon,5.35,144,4,8.78,3.53,4.99,4.16,5.28
2022,LBR,Liberia,5.87,123,3,5.9,3.74,8.56,5.82,5.34
2022,LBY,Libya,4.65,157,4,3.62,2.5,7.03,5.76,4.32
2022,LKA,Sri Lanka,5.87,123,3,8.75,4.87,2.57,7,6.16
2022,LSO,Lesotho,5.96,113,3,5.56,4.68,7.37,6.58,5.62
